"","x"
"1",0.888080518356706
"2",0.86042809103601
"3",0.862613563564131
"4",0.887823380225005
"5",0.8932896651755
"6",0.888645546644598
"7",0.889018383672849
"8",0.888000528387083
"9",0.887707681328454
"10",0.888232141712219
"11",0.888528782063007
"12",0.888615781266991
"13",0.889626739524472
"14",0.86042809103601
"15",0.927127415447849
"16",0.175971279212017
"17",0.889778384839379
"18",0.887727761741589
"19",0.86042809103601
"20",0.91397854470895
"21",0.847376148019073
"22",0.857590633256616
"23",0.888295177778071
"24",0.888604978740471
"25",0.878285460059883
"26",0.888310851299448
"27",0.626813871377756
"28",0.140196734695318
"29",0.887872380605817
"30",0.888609857439433
"31",0.888840497563842
"32",0.860400718150772
"33",0.888295177778071
"34",0.888663371361158
"35",0.889778384839379
"36",0.888295177778071
"37",0.86042809103601
"38",0.86042809103601
"39",0.931671654268754
"40",0.889397379782457
"41",0.926139338520494
"42",0.887823380225005
"43",0.128824955401433
"44",0.88934715519044
"45",0.86042809103601
"46",0.887821249689606
"47",0.889018618926647
"48",0.888217598605228
"49",0.86042809103601
"50",0.835124656296305
"51",0.929340245513644
"52",0.86042809103601
"53",0.86042809103601
"54",0.945466549704134
"55",0.86042809103601
"56",0.887097808541031
"57",0.889076776293537
"58",0.777826575352978
"59",0.884226985765996
"60",0.884435358770682
"61",0.852764502527671
"62",0.889024542754205
"63",0.936147533148106
"64",0.887881772845692
"65",0.86042809103601
"66",0.888573753897862
"67",0.88849376392824
"68",0.867029216096567
"69",0.86042809103601
"70",0.849776944829598
"71",0.86042809103601
"72",0.887494843961212
"73",0.86042809103601
"74",0.888480501203642
"75",0.86042809103601
"76",0.86042809103601
"77",0.139031148746149
"78",0.782161213967784
"79",0.888703939265285
"80",0.887771666927238
"81",0.86042809103601
"82",0.922538889274252
"83",0.927036869570571
"84",0.888245217634069
"85",0.911790678385967
"86",0.939397224122946
"87",0.961898421981191
"88",0.888611137821827
"89",0.86042809103601
"90",0.889719992218692
"91",0.889306587286313
"92",0.889018383672849
"93",0.917865628278146
"94",0.88790824889359
"95",0.902329281012562
"96",0.888919207151071
"97",0.863793976645965
"98",0.824695922442151
"99",0.365405293963258
"100",0.889076776293537
"101",0.197218910585898
"102",0.888703939265285
"103",0.888689847409056
"104",0.176410863227164
"105",0.86042809103601
"106",0.889391455954899
"107",0.86042809103601
"108",0.86042809103601
"109",0.888236785157384
"110",0.935209068681455
"111",0.86042809103601
"112",0.86042809103601
"113",0.88790824889359
"114",0.86042809103601
"115",0.904481491940511
"116",0.86042809103601
"117",0.86042809103601
"118",0.888431736076628
"119",0.888295177778071
"120",0.888992142878749
"121",0.88925390249622
"122",0.86042809103601
"123",0.885154616528956
"124",0.935710607702163
"125",0.886271995796374
"126",0.86042809103601
"127",0.942257476737583
"128",0.889018618926647
"129",0.88758764540467
"130",0.32412011520129
"131",0.887823380225005
"132",0.892523699608403
"133",0.928470197655785
"134",0.955267611618288
"135",0.86042809103601
"136",0.888137608635605
"137",0.878387938755183
"138",0.888615781266991
"139",0.967987214869831
"140",0.889726151300048
"141",0.935726468641816
"142",0.917895275966811
"143",0.883180133899058
"144",0.86042809103601
"145",0.887115847851604
"146",0.889719992218692
"147",0.959430102646805
"148",0.888938393703226
"149",0.908184871874916
"150",0.888604978740471
"151",0.888086677438062
"152",0.918769359762123
"153",0.888919207151071
"154",0.887804193672849
"155",0.886640236902144
"156",0.86042809103601
"157",0.888295177778071
"158",0.88863214651855
"159",0.888511726046251
"160",0.871572310533943
"161",0.884435358770682
"162",0.86042809103601
"163",0.886468450999335
"164",0.889391455954899
"165",0.86042809103601
"166",0.129151069098697
"167",0.889018383672849
"168",0.888236785157384
"169",0.155384701451344
"170",0.888236785157384
"171",0.888200010545416
"172",0.86042809103601
"173",0.887436000089763
"174",0.904659755972519
"175",0.889076776293537
"176",0.86042809103601
"177",0.887174240472291
"178",0.889070852465978
"179",0.816486686151016
"180",0.89893960569348
"181",0.86042809103601
"182",0.923667071856323
"183",0.88437301801349
"184",0.88837952449669
"185",0.86042809103601
"186",0.249846207295246
"187",0.86042809103601
"188",0.155194724198865
"189",0.159144025025702
"190",0.887529252783983
"191",0.83557461209357
"192",0.88729891984124
"193",0.888938393703226
"194",0.887707681328454
"195",0.86042809103601
"196",0.888901619091259
"197",0.888903984880456
"198",0.917118267835513
"199",0.86042809103601
"200",0.86042809103601
"201",0.153922926757876
"202",0.888137608635605
"203",0.886940239398565
"204",0.86042809103601
"205",0.901755460106639
"206",0.895346641811729
"207",0.888983974850078
"208",0.86042809103601
"209",0.924391961136105
"210",0.155044527355975
"211",0.887671354912508
"212",0.15727885406434
"213",0.86042809103601
"214",0.889275362443705
"215",0.924075842843378
"216",0.86042809103601
"217",0.917860946141283
"218",0.887436000089763
"219",0.820605569285757
"220",0.887436000089763
"221",0.940984103878862
"222",0.900705189311026
"223",0.147186507595231
"224",0.395709053785609
"225",0.86042809103601
"226",0.837247371018452
"227",0.88790824889359
"228",0.86042809103601
"229",0.889012459845291
"230",0.887113482062408
"231",0.85254673536397
"232",0.88729891984124
"233",0.86042809103601
"234",0.856446529153309
"235",0.887418412029951
"236",0.86042809103601
"237",0.86042809103601
"238",0.86061281271609
"239",0.133890024397553
"240",0.154351019121582
"241",0.86042809103601
"242",0.891227089401991
"243",0.888369243920136
"244",0.86042809103601
"245",0.887996406891884
"246",0.887022595157384
"247",0.86042809103601
"248",0.86042809103601
"249",0.885074626559333
"250",0.89822106558229
"251",0.86042809103601
"252",0.106094034232729
"253",0.889076776293537
"254",0.889018618926647
"255",0.880087128580504
"256",0.887115847851604
"257",0.888236785157384
"258",0.919283225817983
"259",0.86042809103601
"260",0.889685583395921
"261",0.78537819039405
"262",0.887844761576977
"263",0.86042809103601
"264",0.888369243920136
"265",0.888369243920136
"266",0.151239210362683
"267",0.883969900443194
"268",0.794207232909042
"269",0.884226985765996
